Fecha,Super_TCROC,Super_TCROCM,Super_ETCROC,Super_ETCROCM,Regular_TCROC,Regular_TCROCM,Regular_ETCROC,Regular_ETCROCM,Diesel_TCROC,Diesel_TCROCM,Diesel_ETCROC,Diesel_ETCROCM,Kerosene_TCROC,Kerosene_TCROCM,Kerosene_ETCROC,Kerosene_ETCROCM
2019-12-02,-0.0021766889323390215,-0.0021766889323390215,-0.0018667689459617165,-0.0018667689459617165,0.001327835627926488,0.001327835627926488,0.0011747084838324984,0.0011747084838324984,-0.004660960889139254,-0.004660960889139254,-0.004749341364362336,-0.004749341364362336,-0.0056767651355738025,-0.0056767651355738025,-0.005957453357336551,-0.005957453357336551
2019-12-09,0.00020729675989739071,0.00020729675989739071,0.0003171260617453875,0.0003171260617453875,0.0017311952293730393,0.0017311952293730393,0.0019551055916418036,0.0019551055916418036,-0.002840999124750221,-0.002840999124750221,-0.0024286455900861537,-0.0024286455900861537,-0.00453244813585596,-0.00453244813585596,-0.004044711491970832,-0.004044711491970832
2019-12-16,-0.0021268993459745422,-0.0021268993459745422,-0.0026481740014128174,-0.0026481740014128174,-0.00023521784056856898,-0.00023521784056856898,-0.0008040468669672229,-0.0008040468669672229,-0.000679805789332133,-0.000679805789332133,-0.0007125584346886482,-0.0007125584346886482,-0.0011959930972594845,-0.0011959930972594845,-0.0010976945224522305,-0.0010976945224522305
2019-12-23,-0.004158845873178718,-0.004158845873178718,-0.003995532502970356,-0.003995532502970356,-0.0019613339301051136,-0.0019613339301051136,-0.0016974430127286722,-0.0016974430127286722,6.144510518257817e-05,6.144510518257817e-05,0.0002251867263136642,0.0002251867263136642,-0.0031910135711294974,-0.0031910135711294974,-0.0036418551474765026,-0.0036418551474765026
2019-12-30,-0.0007865590145867962,-0.0007865590145867962,-0.0003538097000950202,-0.0003538097000950202,0.0017311951307956708,0.0017311951307956708,0.0021183834404618906,0.0021183834404618906,0.004206908472701221,0.004206908472701221,0.004773941614297561,0.004773941614297561,0.008284657051370825,0.008284657051370825,0.010777661716001363,0.010777661716001363
2020-01-06,0.0026114767484874957,0.0026114767484874957,0.0027768985549407876,0.0027768985549407876,0.00501537920700823,0.00501537920700823,0.0052067199533401,0.0052067199533401,0.0076372143711207485,0.0076372143711207485,0.007675654243863628,0.007675654243863628,0.013879206156920176,0.013879206156920176,0.012401102480922521,0.012401102480922521
2020-01-13,0.003697796548885357,0.003697796548885357,0.0037241951023312403,0.0037241951023312403,0.0034896331186864415,0.0034896331186864415,0.0030329434315314874,0.0030329434315314874,0.006227645882920463,0.006227645882920463,0.00594332817276233,0.00594332817276233,0.006422450278706027,0.006422450278706027,0.006557289286408086,0.006557289286408086
2020-01-20,0.005866987746487418,0.005866987746487418,0.006221855197313886,0.006221855197313886,0.004343926954207822,0.004343926954207822,0.0049484516586164595,0.0049484516586164595,0.006016311822776954,0.006016311822776954,0.006260187263345873,0.006260187263345873,0.008874845915417096,0.008874845915417096,0.00917089431349627,0.00917089431349627
2020-01-27,0.004526346264084324,0.004526346264084324,0.003941450659449952,0.003941450659449952,0.0043103173186684884,0.0043103173186684884,0.003705860957560203,0.003705860957560203,0.000881828821365449,0.000881828821365449,-0.00025726490561672755,-0.00025726490561672755,0.003123129017216675,0.003123129017216675,0.0018299285616467653,0.0018299285616467653
2020-02-03,-0.000977020111074589,-0.000977020111074589,-0.001366488686402323,-0.001366488686402323,-0.0017571820504775904,-0.0017571820504775904,-0.002226781437963843,-0.002226781437963843,-0.008015756523435003,-0.008015756523435003,-0.00845654594775147,-0.00845654594775147,-0.008139873823830746,-0.008139873823830746,-0.008848762328909965,-0.008848762328909965
